YEAR,STATE,RATE,DEATHS
2020,AL,237.5,14739
2020,AK,139.8,915
2020,AZ,144.8,14196
2020,AR,222.5,8621
2020,CA,144,66538
2020,CO,128.1,8023
2020,CT,138.4,7110
2020,DE,159.6,2171
2020,FL,143.1,49287
2020,GA,183.7,21116
2020,HI,125,2623
2020,ID,151.9,3191
2020,IL,171.4,27460
2020,IN,183.9,15169
2020,IA,172.9,7499
2020,KS,167,6264
2020,KY,204.5,11345
2020,LA,221.5,12255
2020,ME,146.2,3035
2020,MD,168.3,12624
2020,MA,126.9,11781
2020,MI,205,27127
2020,MN,118.1,8562
2020,MS,245.6,8809
2020,MO,196.7,15934
2020,MT,162.7,2424
2020,NE,143.8,3532
2020,NV,201.3,7285
2020,NH,146.5,2814
2020,NJ,166.3,19744
2020,NM,152.7,4219
2020,NY,183.9,48546
2020,NC,156.2,20373
2020,ND,147.3,1449
2020,OH,196.9,30547
2020,OK,244.1,11758
2020,OR,134,7371
2020,PA,175.7,32936
2020,RI,150.5,2319
2020,SC,170.9,11385
2020,SD,155.2,1820
2020,TN,212,17943
2020,TX,173.9,50281
2020,UT,155.6,4251
2020,VT,167.1,1521
2020,VA,152,15678
2020,WA,134.6,12084
2020,WV,197.8,5123
2020,WI,162.2,12641
2020,WY,160.4,1174
2019,AL,219.6,13448
2019,AK,129.7,843
2019,AZ,134,12587
2019,AR,226.5,8669
2019,CA,136.9,62394
2019,CO,127.7,7762
2019,CT,143.1,7354
2019,DE,154.3,2053
2019,FL,140.1,47144
2019,GA,175.5,19543
2019,HI,120.3,2503
2019,ID,150.7,3061
2019,IL,162,25690
2019,IN,178.8,14555
2019,IA,172.9,7505
2019,KS,166,6140
2019,KY,196.4,10742
2019,LA,207.8,11302
2019,ME,142.4,2940
2019,MD,159.3,11770
2019,MA,127.2,11761
2019,MI,193.8,25547
2019,MN,116.7,8401
2019,MS,226.7,7997
2019,MO,187,15018
2019,MT,157.1,2290
2019,NE,144.9,3540
2019,NV,198.1,6864
2019,NH,143.4,2707
2019,NJ,158,18716
2019,NM,158.2,4245
2019,NY,166.6,43806
2019,NC,154.7,19617
2019,ND,147.7,1448
2019,OH,188.8,29160
2019,OK,231.4,10960
2019,OR,131,7128
2019,PA,172.9,32299
2019,RI,159.3,2404
2019,SC,164,10579
2019,SD,158.1,1840
2019,TN,202.8,16814
2019,TX,163.4,46139
2019,UT,146.5,3882
2019,VT,151.6,1368
2019,VA,149.1,15062
2019,WA,134.8,11862
2019,WV,197.4,5087
2019,WI,158.8,12241
2019,WY,150.4,1067
2018,AL,224.7,13473
2018,AK,129.7,815
2018,AZ,136.4,12455
2018,AR,217.4,8171
2018,CA,139.7,62547
2018,CO,124.3,7370
2018,CT,142.1,7205
2018,DE,159.1,2030
2018,FL,143.1,47027
2018,GA,175.8,18986
2018,HI,125.6,2570
2018,ID,157.9,3122
2018,IL,163.9,25755
2018,IN,180.7,14532
2018,IA,165.1,7185
2018,KS,158.9,5823
2018,KY,198.3,10697
2018,LA,212.2,11340
2018,ME,147,2965
2018,MD,161.9,11683
2018,MA,131.5,12036
2018,MI,195,25354
2018,MN,119,8408
2018,MS,222.1,7758
2018,MO,188.4,14893
2018,MT,163.2,2347
2018,NE,145.7,3539
2018,NV,190.7,6393
2018,NH,151,2786
2018,NJ,163,19047
2018,NM,148.2,3935
2018,NY,171.9,44499
2018,NC,155.5,19222
2018,ND,140,1361
2018,OH,191.1,29220
2018,OK,228.5,10634
2018,OR,128.4,6820
2018,PA,176.1,32768
2018,RI,158.9,2411
2018,SC,167,10464
2018,SD,156.3,1796
2018,TN,202.4,16417
2018,TX,170,46763
2018,UT,146.4,3749
2018,VT,150.5,1338
2018,VA,147.9,14600
2018,WA,135.4,11655
2018,WV,196.4,5007
2018,WI,157.8,12061
2018,WY,152.7,1054
2017,AL,223.2,"13,110"
2017,AK,135,814
2017,AZ,141.9,"12,398"
2017,AR,223.8,"8,270"
2017,CA,142.9,"62,797"
2017,CO,122.7,"7,060"
2017,CT,141.6,"7,138"
2017,DE,158.4,"1,990"
2017,FL,145.8,"46,440"
2017,GA,175.8,"18,389"
2017,HI,129.8,"2,575"
2017,ID,162.4,"3,084"
2017,IL,163.3,"25,394"
2017,IN,183.2,"14,445"
2017,IA,167.4,"7,180"
2017,KS,157.9,"5,723"
2017,KY,195.9,"10,343"
2017,LA,214.4,"11,260"
2017,ME,143.5,"2,844"
2017,MD,164.5,"11,653"
2017,MA,134.6,"12,140"
2017,MI,196.1,"25,187"
